Condition,Frequencies (Hz)
Hyperosmia,"20, 146, 522, 727, 787, 800, 812, 880, 10000"
Hyperostosis,"120, 250, 700, 2500, 2750"
Hyperoxaluria,"30, 320, 620, 800, 2500, 7500"
Hyperpituitarism,"130, 350, 700, 850, 5790"
Hyperprolactinemia,"30, 520, 680, 900, 7500"
Hypersensitivity Immediate,"40, 240, 570, 1920"
Hypersensitivity,"10, 370, 650, 800, 2500"
Hypersensitivity,33
Hypersomnia Periodic,"40, 500, 680, 870, 5580, 7500"
Hypertension,"6, 15, 20, 95, 304, 324, 528, 727, 787, 880, 2112, 3176, 10000"
Hypertension Malignant,"70, 410, 780, 3210"
Hypertension Portal,"40, 400, 780, 1210"
Hypertension Pulmonary,"140, 400, 780, 1000, 2500"
Hypertension Renin Induced,6
Hypertension Spastic,95
Hypertension,"30, 400, 780, 1000, 2500"
"Hyperthyroid ,Thyroid Gland",3
Hyperthyroid,"3, 20, 160"
Hyperthyroidism,"70, 460, 620, 830, 7500"
Hypertrophy Left Ventricular,"110, 570, 950, 5250"
Hypertrophy Right Ventricular,"120, 570, 950, 5580"
Hyperventilation,"120, 230, 850, 5500"
Hypervitaminosis A,"110, 570, 950, 5500"
Hyphema,"110, 570, 950, 5500"
Hypoacidity Stomach,20
Hypocalcemia,"120, 500, 850, 5500"
Hypochondria,"1, 488, 588"
Hypochondriasis,"30, 500, 850, 7500, 8000"
Hypochondrium Upper Abdomen,"20, 727, 787, 880, 10000"
Hypocupremia Congenital,"170, 420"
Hypogonadism,"100, 500, 780, 850, 5580"
Hypohidrosis,"30, 550, 870"
Hypokalemia,"70, 120, 750, 830"
Hyponatremia,"130, 240, 730, 870, 2250, 5780"
Hypophosphatasia,"40, 220, 950, 5580"
Hypophyseal Disturbances,4
Hypopituitarism,"150, 260, 800, 5500"
Hypoplastic Left Heart Syndrome,"70, 180, 750, 830, 2500, 7500"
Hypospadias,"130, 570, 730, 850"
Hypotension,"20, 240, 727, 787, 850, 880"
Hypothalamus Balance,537
Hypothalamus Function Balance,"1351, 1413, 1534"
Hypothalamus Stimulate Normal Function,"1351, 1413, 1534"
Hypothermia,"30, 460, 600, 850, 2500, 5250"
"Hypothyroid ,Thyroid Gland","2, 12, 20, 35, 80, 160, 10000"
Hypothyroid,"2, 12, 20, 35, 80, 160, 740, 802, 1550, 10000"
Hypothyroidism,"70, 460, 620, 830, 7500"
Hypoxia Brain,"150, 180, 800, 5500"
"Hypoxia,Low Oxygen","727, 787, 880, 10000"
Hysterical Symptoms,"20, 727, 787, 880, 5000"
Ichthyosis,"30, 180, 650, 800"
Icterus Haemolytic,"243, 768"
Idiopathic Parkinson's Disease,"80, 350, 650, 830, 9500"
Idiopathic Scrotal Calcinosis,"120, 260, 700, 2500"
IgA Deficiency,"130, 230, 700, 870, 5780, 7250"
Ileocolitis Colon Inflammation,"20, 440, 727, 787, 800, 802, 832, 880"
Immune Complex Diseases,"20, 300, 850, 7500"
Immune System Diseases,"20, 300, 850, 7500"
Immune System Improve,3
Immune System Stabilization,"30, 330, 727, 740, 787, 835, 880, 1234, 1550, 5000, 7344, 10000"
Immune System Stimulate Normalize,835
Immunologic Deficiency Syndromes,"20, 300, 850"
Impetigo,"150, 230, 650, 930"
Incontinence,"465, 660, 666, 690, 787, 802, 880, 1550, 2050, 2128, 2250, 10000"
Incontinentia Pigmenti,"100, 570, 680, 870"
Indigestion,"20, 72, 95, 125, 444, 465, 660, 690, 727, 787, 800, 802, 832, 880, 1550, 1865, 4444, 10000"
Infantile Paralysis,"727, 776, 787, 880, 1500, 5000, 10000"
Infection Allergies,10000
Infection Any,"465, 727, 787, 880"
Infection Bone,"47, 600, 625, 650, 660, 690, 776, 787, 880, 1600, 1800, 10000"
Infection Diabetic,"20, 80, 190, 660, 690, 800, 2020"
Infections General Tertiary,"610, 732, 751, 832, 1800, 1850, 2008, 2489, 2720, 3040"
Infections General,"20, 48, 72, 95, 125, 304, 422, 444, 465, 676, 728, 766, 786, 802, 880, 1550, 5500"
Infectious Mononucleosis,"80, 350, 600, 800"
Infertility,"120, 170, 300, 335, 465, 536, 600, 622, 625, 650, 660, 690, 712, 787, 802, 880, 890, 1550, 2008, 6910"
Infertility,"465, 600, 625, 650, 666, 690, 727, 787, 802, 880, 2008, 2127"
Inflammation,"3, 148, 2720"
Inflammation Bone,"724, 736, 743, 770"
Inflammation Breast,"727, 787, 880, 5000"
Inflammation General,3
Inflammation Oral,"727, 787, 880"
Inflammation,"80, 120, 600, 800, 2500"
Inflammatory Bowel Diseases,"10, 40, 320, 700, 850, 5610"
Inflammatory Myopathy,"70, 330, 750, 830, 3700, 8510"
Influenza 1957 A Asian,"574, 768"
Influenza 1978,"610, 814, 844"
Influenza 1979,"123, 513, 522, 565, 601, 788"
Influenza 1983,"424, 428, 730, 734"
Influenza 1989,"216, 322, 627, 703, 748"
Influenza 1993 Secondary,"207, 254, 580, 739, 741, 760, 765, 773, 848, 915, 947, 7967, 8910"
Influenza 1993,"522, 615, 778, 850, 959"
Influenza 1994 Secondary,"337, 690, 702, 727, 729, 776, 779, 868, 869"
Influenza 1994,"689, 697, 699, 798"
Influenza 1997/1998,"20, 35, 465, 727, 787, 880, 2008"
Influenza 1997/1999,"20, 35, 250, 465, 727, 880, 2008, 7760, 8210, 8700"
Influenza 1998,"250, 465, 900, 8210"
Influenza 1999/2000,"330, 727, 728, 880, 10000"
Influenza 1999/2000,"440, 465, 613, 666, 727, 787, 800, 1000, 5000, 10000"
Influenza 2000/2002,"125, 304, 440, 464, 727, 728, 787, 800, 875, 880, 5316, 7344, 7532, 7760, 8000, 8247, 8250"
Influenza A and B,3600
Influenza A,"20, 250, 450, 650, 2210, 6150"
Influenza Aches and Respiratory,"304, 440, 512, 600, 683, 728, 784, 787, 800, 875, 880, 885, 2050, 2720, 5000"
Influenza and Cold,"959, 962"
Influenza Asian Grippe A,"434, 516, 656"
Influenza B,250
Influenza Bach Poly,"122, 350, 487, 572, 634, 764, 768, 771, 823, 1043, 1272"
Influenza Bach Poly,"122, 823"
Influenza Berlin,"55, 430, 720, 733, 787"
Influenza Bird H5N1,"80, 250, 570, 7500"
Influenza Grippe 1986 Tri,"462, 532, 588, 660, 662, 664, 666, 668, 670, 712, 994"
Influenza Grippe 1987,"140, 332, 581, 730, 953, 4868"
Influenza Grippe 1988,"267, 536, 568, 752, 781, 2050"
Influenza Grippe 1989,"353, 536, 874"
Influenza Grippe 1990,"541, 560, 656"
Influenza Grippe 1997/1999,"20, 35, 250, 465, 727, 787, 880, 2008, 7760, 8210, 8700"
Influenza Grippe General,"343, 500, 512, 541, 862, 1000, 1192, 3012, 3423"
Influenza Grippe Vapch,"153, 343"
Influenza Haemophilus Type B,"483, 652, 731, 746, 942"
Influenza Haemophilus,"542, 552, 734, 885, 959"
Influenza Human,"80, 250, 570, 7500"
Influenza Spanish,462
Influenza Spanish,"462, 787"
Influenza Swine,"413, 432, 663, 839, 995"
Influenza Toxicum,854
Influenza Triple Nosode,"421, 632, 1242, 1422, 1922, 3122"
Influenza V Grippe,861
Influenza V2 Grippe,"324, 652, 653"
Influenza V3 Grippe,"550, 553"
Influenza V4 Grippe,"232, 352, 2558"
Influenza V5 Grippe,"518, 945"
Influenza V75 Victoria,"316, 343, 1020"
Influenza Va2 Grippe,"334, 472, 496, 728, 833, 836, 922"
Influenza Va2l Grippe,447
Influenza Vesic NW,"238, 239, 332, 364, 519, 588, 590, 715"
Influenza Vesic SW,"433, 645, 658, 824"
Influenza Vesic,"203, 292, 975"
Influenza Vesica General,"203, 292, 407, 588, 612, 682, 975"
Influenza Virus 1991/1992,"153, 345, 387, 758, 984, 985"
Influenza Virus 1992/1993 Secondary,"272, 534, 566, 632, 640, 668, 674, 713, 715, 742, 773, 776, 777, 782, 947"
Influenza Virus 1992/1993,"535, 946"
Influenza Virus 1993/1994,"757, 885, 895, 969"
Influenza Virus A 1974,442
Influenza Virus A Port Chalmers,332
Influenza Virus A Port Chalmers,"622, 863"
Influenza Virus A,"322, 332, 776"
Influenza Virus B,"468, 530, 532, 536, 537, 568, 679, 722, 740, 742, 744, 746, 748, 750, 1186"
Influenza Virus B,"530, 532, 536, 537"
Influenza Virus British,"558, 932"
Influenza Virus General,"728, 800, 880, 7760, 8000, 8250"
Influenza Virus Swine,"413, 432, 663, 839, 995"
Influenza With Fever Virus,"332, 341, 425, 461, 469, 482, 513, 523, 742, 753, 763, 787, 841, 889, 954"
Influenza Bach Poly Flu,"122, 350, 487, 634, 823"
Influenza Toxicum,854
Information Processing Heighten,40
Injection Allergic Reaction,10000
Injuries,5000
Inner Ear Inflammation,"465, 660, 690, 776, 787, 802, 880, 1550"
Inocine Production Stimulate,2642
Inoculations Reaction,10000
Insect Bites General,"660, 690, 880"
Insect Bites General,"727, 880"
Insomnia,"3, 10, 230, 304, 800, 802, 880, 1500, 1550, 6000"
Insomnia,"3, 10, 304, 802, 880, 1500, 1550, 6000"
Insufficient Lactation,5000
Insulinoma,"10, 320, 700, 870, 5250"
Intelligence and Clarity of Thought,"20, 10000"
Interconnectedness Whole-brain,369
Intercostal Neuralgia,"20, 125, 444, 660, 690, 776, 787, 802, 880, 1550, 1865, 2720, 3000"
"Intercostal Neuralgia,Rib","20, 125, 444, 727, 776, 787, 802, 880, 1550, 1865, 3000"
Interferential,"5, 10, 50, 90"
Interferential Carrier,"4000, 4500"
Interleukin,"2791, 2855, 2867, 2929, 3448, 4014, 5611"
Intermittent Claudication,"45, 48, 10000"
"Intermittent Claudication,Muscle","45, 48"
Intermittent Claudication,"80, 240, 570, 7500, 2500"
Intervertebral Disk Displacement,"40, 410, 620, 2750, 7500"
Intestinal Diseases,"50, 520, 780, 7500, 8000"
Intestinal Gas,"20, 422, 465, 660, 676, 690, 760, 787, 802, 832, 880, 1550"
Intestinal Inflammation,"105, 791"
Intestinal Neuronal Dysplasia,"50, 520, 780, 7500, 8000"
Intestinal Obstruction,"50, 520, 780, 7500, 8000"
Intestinal Polyps,"50, 520, 780, 5580"
"Intestinal Problems Colon,Colon","10, 440, 880, 787, 727"
"Intestinal Problems General,Intestines",802
Intestines,"281, 800"
Intestines Inflammation,"105, 727, 787, 791, 832, 880, 1550"
"Intestines Inflammation,Intestines","105, 727, 787, 791, 880, 832, 1550"
Intestines Spasms,"727, 787, 5000"
Intestines to Release,"727, 787, 800, 880"
Intoxication,10000
Intracranial Aneurysm,"80, 240, 570, 7500"
Intuition Awakening,741
Involuntary Muscles,40
Iodine,424
Iritis,"40, 250, 870, 7500"
Irritability,5000
Irritable Bowel Syndrome,"20, 422, 465, 727, 787, 802, 832, 880, 1550, 6766"
Irritable Bowel Syndrome,"230, 850, 7500"
Ischemic Attack Transient,"170, 400, 620, 850, 2500"
Itching,"20, 72, 95, 125, 444, 727, 787, 880, 1865, 3176"
Itching of Anus Toes Feet Blue,"727, 787, 880, 5000"
Itching,"20, 72, 95, 125, 444, 727, 787, 880, 1865, 3176"
Ivemark Syndrome,"160, 490, 620, 850, 7500"
Jacobsen Syndrome,"180, 780, 850, 7500"
Jade Machine Color Code Blue,624
Jade Machine Color Code Green,2055
Jade Machine Color Code Indigo,640
Jade Machine Color Code Lavender,677
Jade Machine Color Code Light Blue,8280
Jade Machine Color Code Light Green,960
Jade Machine Color Code Magenta,800
Jade Machine Color Code Orange,920
Jade Machine Color Code Purple,745
Jade Machine Color Code Red,815
Jade Machine Color Code Sienna,858
Jade Machine Color Code Yellow,470
Jaundice Chronic Idiopathic,"200, 460, 600, 2500"
"Jaundice,Skin","20, 72, 95, 125, 146, 250, 444, 600, 625, 650, 802, 880, 1500, 1550, 1600, 1865, 5000"
Jaundice,"130, 230, 620, 970, 7500"
Jaw Diseases,"190, 180, 650, 9000"
Jet Lag,10
JGE,"322, 1000"
Jim Adams Fungus,"943, 2644"
Job's Syndrome,"130, 230, 700"
Jock itch,"20, 345, 465, 634, 644, 660, 690, 766, 784, 802, 880, 1550"
"Jock Itch,Groin","345, 465, 644, 766, 784"
Joint Diseases,"110, 240, 570"
"Joint Inflammation,Joints",10000
Joint Inflammation,"727, 787, 880, 10000"
Joint Mobility,18
Joint Pain Basic,"160, 324, 500, 528, 1600, 5000"
Joint Pains,"28, 95, 240, 522, 600, 625, 650, 2900"
Joints Inflamed,10000
Joy,360
Joy,"1126, 1927, 3127"
Kallmann Syndrome,"120, 500, 850, 5500"
Kaposi's Sarcoma,"249, 418, 647"
Kartagener Syndrome,"30, 500, 850, 7500"
Katy Luce Finger Wart,495
Katy Luce Foot Fungus,634
Kawasaki Disease,"40, 240, 950, 2750, 5870"
Kay Harris,"521, 772, 2138"
Kearns-Sayre Syndrome,"150, 350, 620, 930, 7500"
Keloid,"100, 500, 780, 850, 5620"
Keratitis Ulcerative,"330, 900, 2770"
Keratitis,"70, 550, 700, 870, 5250, 7250"
Keratoconus,"190, 520, 680, 970"
Keratosis Actinic,"160, 490, 620, 850"
Keratosis Seborrheic,"120, 680, 850, 7500"
Kernicterus,"80, 350, 600, 800, 2750, 5500"
Kidney,"8, 20, 727, 787, 800, 880, 5000, 10000"
Kidney,"248, 463, 522, 622, 658, 917, 932, 1865, 3374, 5162"
Kidney Calculi,"10, 40, 180, 700, 850, 5780"
Kidney Diseases Cystic,"70, 180, 620, 7500"
Kidney Diseases,"70, 180, 570, 7500"
Kidney Failure Acute,"130, 180, 650, 970, 7500"
Kidney Function Normalize Stimulate,625
Kidney Papilloma,"110, 767, 917"
"Kidney Papilloma,Kidney","110, 148, 264, 634, 767, 848, 917, 760, 762, 1102"
Kidney Papilloma,"110, 767"
Kidney Stones,"444, 660, 690, 787, 880, 1552, 1865, 3000, 6000, 10000"
Kidney Stones,"727, 787, 880, 10000"
"Kidney Stones,Kidney","444, 727, 787, 880, 1552, 3000, 6000, 10000"
"Kidney Tonic General,Kidney","8, 20, 248, 440, 800, 880, 3000, 5000, 10000"
Kidney Tubular Necrosis Acute,"130, 180, 650, 970, 7500"
Kidneys,10
Kiefer Osteitis,"432, 516"
"Kiefer Osteitis,Bone","384, 432, 516"
Kings Chamber,441
Klebsiella Infections,"130, 410, 650, 970, 7500"
Klebsiella Pneumoniae,"412, 413, 660, 690, 746, 765, 766, 779, 783, 818, 840"
Klebsiella Pneumoniae,"412, 766"
"Klebsiella Pneumoniae,Mouth Skin Intestines","412, 413, 746, 765, 766, 776, 779, 783, 818, 840"
Klebsiella Pneumoniae,3600
Klebsiella Pneumoniae,"412, 766"
Kleine-Levin Syndrome,"10, 500, 680, 870, 5580, 7500"
Klinefelter Syndrome,"160, 550, 850, 2500, 5500"
Klippel-Feil Syndrome,"30, 520, 620, 930, 7500"
Klippel-Trenaunay-Weber Syndrome,"60, 120, 600, 900, 2750"
Knee Injury,"190, 680"
Knee Joint Pain,"3, 20, 28, 250, 727, 787, 802, 880, 1550"
"Knee Joint Pain,Knee","3, 20, 28, 250, 727, 787, 802, 880, 1550"
Knowing Non-linear,741
Krukenberg Tumor,"70, 490, 600, 800"
Kundalini Expand,55
Kuru,"70, 570, 850, 2500"
L Lysine,"391, 782"
Labyrinth Diseases,"110, 240, 570"
Labyrinthitis,"110, 240, 620, 850"
Lac Deflorat,"230, 371, 232, 2121"
Lack of Conductivity,"20, 727, 787, 880, 10000"
Lacrimal Apparatus Diseases,"120, 550, 850, 5500"
Lacrimal Duct Obstruction,"200, 460, 600, 2750"
Lactation Disorders,"190, 300, 620, 2500, 7500, 8000"
Lactobacillus Acidophilus,865
Lactobacillus Acidophilus,3600
Lactose Intolerance,"130, 250, 700, 7500"
Lambert-Eaton Myasthenic Syndrome,"130, 320, 930, 2440"
Lamblia,"334, 407, 721, 812, 829, 1442, 2018, 2163, 4334, 5429, 5768"
Landau-Kleffner Syndrome,"120, 230, 830, 5250"
Langer-Giedion Syndrome,"80, 30, 750, 7500"
Languorous Paralysis,"20, 72, 95, 125, 444, 600, 625, 650, 660, 690, 776, 787, 880, 1865, 10000"
"Large Intestine Tonic,Intestines","8, 440, 880"
Larsen Syndrome,"130, 570, 730, 900, 2250"
Larva Migrans,"70, 370, 700, 850, 5690, 7250"
Laryngeal Diseases,"30, 240, 620, 830"
Laryngeal Polyp,"202, 765"
Laryngitis,"30, 240, 600, 800"
Laryngitis,"660, 690, 760, 880"
Laryngomalacia,"190, 520, 780, 970, 7500"
Laryngostenosis,"200, 250, 750, 2500, 3000, 5580"
Larynx Infection,"3, 10, 28, 230, 250, 440, 444, 465, 660, 690, 787, 802, 880, 1550, 1865, 2720"
Larynx Polyp,"202, 675"
"Larynx,Voice Box","3, 10, 28, 250, 440, 444, 465, 727, 787, 802, 880, 1550"
Lassa Fever,"30, 240, 4570"
Lassitude Weak Exhausted,"20, 727, 787, 880"
Lateral Medullary Syndrome,"30, 500, 870, 7500"
Lateral Sclerose,254
Latex Hypersensitivity,"150, 230, 650, 930, 7500"
Laurence-Moon Syndrome,"100, 500, 680, 870"
Laxative Mild,"20, 727, 787, 800, 802, 880"
Leaky Gut Sweep,"300, 1300"
Leaky Gut Syndrome,"170, 220, 470, 610"
Leaky Gut,6033
Leg Ulcer,"80, 350, 600"
Legg-Perthes Disease,"10, 320, 700, 870, 5780"
Legionella Pneumophila,"660, 690, 693, 723, 724, 897, 975, 8120, 8856"
"Legionella,Lung","690, 693, 723, 724, 897, 975, 8120, 8856"
Legionella,723
Legionellosis,"190, 230, 850, 2500"
Legionellosis,"660, 690, 693, 723, 724, 897, 975, 8120, 8856"
Legs,"727, 787, 800, 880, 10000"
Leigh Disease,"460, 950, 7500"
Leiomyoma,"850, 980, 1800"
Leiomyoma,"465, 666, 690, 727, 802, 1550, 2008, 2127"
Leiomyosarcoma,"170, 180, 800, 7500"
Leishman-Donovan Bodies,525
"Leishman-Donovan Bodies,Liver Spleen","525, 781"
Leishmania Braziliensis,3600
Leishmania Donovani,3600
Leishmania Mexicana,3600
Leishmania Mexicana,992
Leishmania Tropica,3600
Leishmaniasis,"60, 120, 850, 7510"
Lentigo,"100, 570, 950, 7500"
Leprosy (Hansen's Disease),600
"Leprosy,Nerve","600, 10000"
Leptospira Interrogans Spirochete,3600
Leptospirosis,"600, 612, 663"
Leptospirosis PC,612
"Leptospirosis,Spleen","612, 663"
Leptospirosis,"70, 240"
Lesch-Nyhan Syndrome,"70, 220, 620, 2500, 7500"
Leucine Metabolism Disorders,"30, 260, 780, 7500"
Leuco Encephalitis,572
Leucocytozoon,3600
Leukoencephalitis,"572, 932, 1111"
Leukemia Hairy Cell,"122, 622, 932, 5122"
Leukemia Lymphatic,"478, 833"
Leukemia T Cell,"222, 262, 822, 3042, 3734"
Leukemia,"424, 830, 901, 918"
"Leukemia,Blood","666, 690, 727, 787, 880, 2008, 2127"
Leukemia,"666, 690"
Leukocytogenesis Stimulate,"30, 727"
Leukocytosis,"612, 633, 644, 653, 3722"
"Leukoderma Acquired,Skin","20, 440, 444, 600, 650, 727, 787, 880, 2112"
Leukodystrophy Globoid Cell,"160, 550, 850, 2500, 5500"
Leukodystrophy Metachromatic,"160, 550, 850, 7500"
Leukoencephalitis,"324, 572, 932, 1035, 1079, 1111, 1160, 1333, 1630"
Leukoencephalitis Secondary,"338, 712, 713, 715, 783, 932, 1035, 1160, 1244, 1630"
Leukoencephalitis,"324, 572, 932, 1035, 1079, 1111, 1160, 1333, 1630"
"Leukoencephalitis,Brain","324, 572, 776, 934, 1079, 1111, 1333"
Leukopenia,"20, 500, 850, 2500, 7500"
"Leukoplakia,Mouth","465, 666, 690, 727, 2008, 2127"
Leukose,"612, 633, 653, 3722"
Lice Infestations,"30, 410, 620, 930, 7500"
Lichen Planus,"50, 490, 620, 950"
Lichen Sclerosus et Atrophicus,"150, 180, 800, 5500"
Ligament Stimulate Healing,"50, 120"
Lipodystrophy,"20, 120, 850, 7500"
Lipoma,"47, 606, 709"
Lipoma,"160, 550, 850, 7500"
Lipomatosis,"20, 500, 870"
Lissencephaly,"140, 220, 620, 2500"
Listeria Infections,"80, 260, 780, 2500, 7500"
Listeria Monocytogenes,"377, 471, 626, 628, 634, 714, 724, 744, 2162, 7867"
Listeriose,"377, 471, 626, 628, 634, 714, 724, 774, 2162, 7867"
Liver,"751, 802, 1552"
Liver,"337, 463, 574, 668, 787, 803, 912, 1862, 3337, 5546"
Liver Cirrhosis,"110, 550, 950, 5500"
Liver Diseases,"110, 550, 970"
Liver Enlarged,"465, 660, 690, 787, 880"
"Liver Enlargement,Liver","727, 787, 880"
Liver Flukes,"15, 55, 143, 238, 275, 524, 676, 763, 854, 2000, 6641, 6672"
Liver Flukes,2000
"Liver Flukes,Liver","143, 238, 275, 676, 763"
Liver Function Balance,"537, 751, 802, 1550, 1552"
Liver Function Stimulate & Normalize,751
Liver Necrosis,"329, 377, 471, 626, 628, 634, 635, 714, 724, 751, 774, 802, 847, 867, 1552, 2162, 7867, 9889"
Liver Necrosis,"33, 802, 1550, 1552"
"Liver Support,Liver","751, 802, 1552"
Liver,10
Lockjaw,"120, 244, 352, 363, 458, 465, 554, 600, 625, 628, 650, 660, 690, 787, 880, 1142"
Lockjaw Tetanus,"20, 120, 234, 244, 352, 363, 400, 458, 465, 554, 600, 628, 700, 727, 787, 880, 1142, 1200"
"Lockjaw,Jaw","120, 244, 352, 363, 458, 465, 554, 600, 628, 1142"
Locomotor Ataxia Muscle Failure,"727, 787, 880, 10000"
Loiasis,"120, 550, 850, 5500"
Long QT Syndrome,"30, 500, 850, 7500, 8000"
Lordosis,"150, 230, 620, 930, 7500"
Love Unconditional,852
Love,528
"Low Blood Pressure,Blood","20, 727, 787, 880"
Ludwig's Angina,"130, 520, 650, 9000"
Luesinum and Syphilinum,"177, 600, 625, 650, 658, 660, 789, 900, 2776, 6600"
"Luesinum and Syphilinum,Syphilis","177, 600, 625, 650, 658, 660"
Lumbago,"72, 95, 125, 300, 444, 660, 690, 727, 787, 800, 802, 880, 1550, 1865, 10000"
"Lumbago,Back","72, 95, 125, 300, 444, 727, 787, 800, 880, 1865, 10000"
Lumbago,"30, 190"
Lumbar Compression,6110
Lumbar Vertebrae Deformed,"727, 787, 880, 10000"
Lung Abscess,"228, 231, 237, 694, 719, 747, 887,2890"
"Lung Abscess,Lung","228, 231, 237, 694, 719, 887, 2890"
Lung Abscess,"40, 240, 600, 830, 2500"
Lung Breathing,"727, 787, 880"
Lung Diseases Interstitial,"50, 240, 600, 970, 7500"
Lung Diseases,"30, 410, 620, 930, 7500"
Lung General,"9, 20, 72, 95, 125, 220, 444, 450, 727, 776, 787, 802, 880, 1550, 1865, 3672"
Lung General Conditions,"20, 72, 95, 125, 444, 450, 590, 660, 690, 776, 787, 802, 880, 1550, 1800, 1865"
Lung General Tonic,"318, 568"
"Lung General,Lung","9, 20, 3672"
Lung Infection Gordonia Sputi,"3049, 3483"
Lung Sinus Bacteria,548
"Lung Sinus Bacteria,Lung","244, 597, 1311, 1466"
Lung,"9, 12, 3672"
Lupus,"205, 243, 244, 352, 386, 633, 921, 942, 993, 1333, 1464, 8020"
Lupus Erythematosus Cutaneous,"110, 490, 730, 2250, 7500"
Lupus General Secondary,"205, 244, 352, 633, 771, 847, 921, 993, 1333, 1464, 7865"
"Lupus General,Skin","243, 240, 300, 386, 442, 480, 632, 702, 798, 800, 942, 2006, 2008, 2010, 2489"
Lupus SLE Secondary,"304, 386, 481, 664, 678, 784, 880, 1552, 2008, 2128, 2180"
Lupus Systemic Erythematosus SLE,"633, 702, 802, 2008, 2125, 2489, 3612"
Lupus Vulgaris,"727, 776, 787, 800, 880, 1550"
Lupus Vulgaris,"800, 2489, 10000"
"Luxation,Joints",110
Lyme Borreliosis,"650, 2500, 7500"
Lyme Disease,"650, 2500, 7500"
Lyme Doug's,"20, 27, 305, 306, 432, 610, 611, 612, 625, 727, 787, 802, 880, 920, 4200, 4320, 10000"
Lyme Envita,"20, 444, 728, 784, 800, 803, 880, 1550, 7270, 7870, 8020, 8300, 8450"
Lyme General,"432, 612, 2016"
Lyme Hatchlings Eggs,"203, 412, 414, 589, 640, 667, 840, 1000, 1072, 1087, 1105, 8554"
Lyme Main Co-infections,"364, 570, 2016, 5776"
Lyme Secondary,"525, 597, 644, 699, 885"
Lyme Tertiary,"306, 432, 484, 610, 625, 690, 790, 864, 2016"
Lyme,"605, 673, 797, 1455"
Lymph,"146, 346, 428, 596, 767, 982, 1078, 3176, 5443, 8846"
Lymph Circulation Stimulate Increased,15
Lymph Drain,"146, 522"
Lymph Function Stimulate Normal,676
Lymph Glands Stimulate,"465, 10000"
Lymph Glands,"10, 440, 727, 787, 880, 5000"
Lymph Leukemia,833
Lymph Nodes in Neck Swollen,465
Lymph Plaque,"346, 596"
Lymph Stasis,"146, 148, 440, 444, 522, 727, 787, 880"
Lymph Stasis Secondary,"10, 146, 148, 440, 444, 465, 522, 727, 787, 880, 10000"
Lymph Stasis,3176
Lymph Support,3176
Lymph System Normalize Stimulate,676
Lymphadenitis,"574, 778, 880, 1078, 1120, 3176"
Lymphadenitis,"120, 240, 930, 7500"
Lymphangioleiomyomatosis,"120, 180, 930, 7500"
Lymphangioma,"120, 350, 930, 7500"
"Lymphangitis,Blood","574, 778, 880, 1120, 1078, 3176"
Lymphangitis,574
Lymphatic Depressant,"727, 787, 880, 5000"
Lymphatic Diseases,"140, 350, 930"
Lymphatic Leukemia,833
Lymphatic Leukemia,478
Lymphedema,"120, 350, 930, 7500"
Lymphedema,"20, 146, 148, 440, 444, 465, 522, 660, 690, 787, 880, 1865, 3000, 5000"
Lymphocytes Stimulate,"2791, 2855, 2867, 2929, 3347, 3448, 4014, 5611"
Lymphogranuloma Inguinale,"20, 120, 950"
Lymphogranuloma Malignant,"10, 20, 120, 440, 552, 880, 950, 1522"
Lymphogranuloma Venereum LGV,"9, 430, 479, 552, 620, 624, 840, 866,1522, 1885, 2213, 2222"
"Lymphogranuloma,Lymph","552, 1522"
Lymphogranuloma,1522
Lymphoproliferative Disorders,"120, 350, 870, 7500"
Lysine Stimulate,"391, 782"
Lysosomal Storage Diseases,"80, 410, 950, 2750, 5500"
Lyssavirus,"20, 120, 547, 660, 690, 787, 793, 808, 880"
